City,Country,Latitude,Longitude,Population
freistadt,at,48.5,14.5,7574
friesach,at,46.955278,14.405833,5369
frohnleiten,at,47.266667,15.316667,6629
fugen,at,47.35,11.85,3734
furstenfeld,at,47.05,16.083333,5962
gallneukirchen,at,48.35,14.416667,6282
ganserndorf,at,48.35,16.733333,8588
garsten,at,48.016667,14.4,6657
gleisdorf,at,47.1,15.716667,5245
gloggnitz,at,47.666667,15.933333,6213
gmunden,at,47.916667,13.8,13287
gmund,at,48.766667,14.983333,5811
gotzis,at,47.333056,9.633056,10342
gratkorn,at,47.133333,15.35,6806
graz,at,47.066667,15.45,222326
grieskirchen,at,48.233333,13.833333,4766
grodig,at,47.733333,13.033333,6918
guntramsdorf,at,48.033333,16.3,9071
haag,at,48.15,15.5,5164
hainburg,at,48.15,16.933333,5622
hallein,at,47.683333,13.1,18980
hall,at,47.6,14.45,11197
hard,at,47.483056,9.683056,11766
heidenreichstein,at,48.866667,15.116667,4472
hermagor,at,46.627222,13.367222,7242
herzogenburg,at,48.266667,15.683333,7866
himberg,at,48.083333,16.433333,5534
hochst,at,47.466667,9.633056,7207
hohenems,at,47.366667,9.683056,14072
hollabrunn,at,48.55,16.083333,10966
hopfgarten,at,47.45,12.166667,5314
horbranz,at,47.55,9.75,6414
horn,at,48.65,15.65,6485
horsching,at,48.233333,14.183333,5312
imst,at,47.233333,10.733333,9225
innsbruck,at,47.266667,11.4,112467
jenbach,at,47.4,11.783333,6806
jennersdorf,at,46.939167,16.146667,4319
judenburg,at,47.166667,14.666667,9992
kapfenberg,at,47.433333,15.3,21819
